Ticker;Company;GICS Sector;GICS Sub-Industry;Ticker2;CompanyMarketCap;PE;CurrentRatio;DividendYield;Price To Book Value Per Share (Daily Time Series Ratio);Price / EPS (SmartEstimate ®);Price / Earnings To Growth Ratio (Mean Estimate);Return on Average Common Equity - %, TTM;Return on Average Total Assets - %, TTM;Total Debt to Common Equity;Total Debt to Common Equity, 5 Yr Avg;Net Margin;Price to Total Revenue per Share;Price / Revenue (Mean Estimate);Z_Score
NVDA;Nvidia;Information Technology;Semiconductors;NVDA.O;4,44129E+12;58,63120835;4,43985;0,021975607;52,94543086;41,44391115;1,102820671;115,4626462;75,89138321;0,10668;0,250299344;0;27,10825904;21,98430512;0,730234369
GILD;Gilead Sciences;Health Care;Biotechnology;GILD.O;1,47681E+11;23,80642826;1,59722;2,655015964;7,513613907;14,72653461;0,395331967;33,2551706;11,54803294;1,38184;1,315084637;20,27;4,031590387;5,136324757;0,533733743
ORLY;O'Reilly Automotive;Consumer Discretionary;Automotive Retail;ORLY.O;86122413020;36,30160013;0,705;;-70,0824854;34,44905274;3,410802357;;16,04348953;;;;4,166103725;4,86215265;0,458956394
CPRT;Copart;Industrials;Diversified Support Services;CPRT.O;45310630988;30,97157964;7,02898;;5,159303667;30,22933265;2,714874061;18,53837336;16,68546265;0;0,033488359;;12,03995997;9,682108576;0,435136529
GOOGL;Alphabet Inc. (Class A);Communication Services;Interactive Media & Services;GOOGL.O;2,45913E+12;21,94384823;1,83693;0,413915443;6,768469177;20,34935023;1,331663807;34,82850638;25,21162754;0,04171;0,054628596;0,03;6,731702655;6,237403792;0,398746959
GOOG;Alphabet Inc. (Class C);Communication Services;Interactive Media & Services;GOOG.O;2,45913E+12;21,94384823;1,83693;0,412128349;6,768469177;20,36625688;1,317340067;34,82850638;25,21162754;0,04171;0,054628596;0,03;6,731702655;6,228617261;0,39871923
META;Meta Platforms;Communication Services;Interactive Media & Services;META.O;1,96482E+12;28,08044608;2,97788;0,268497564;10,08786118;27,51339912;2,234044232;40,6482621;27,24169591;0,16171;0,084406181;;9,304035477;10,04183837;0,393964911
AMZN;Amazon;Consumer Discretionary;Broadline Retail;AMZN.O;2,46338E+12;35,24700985;1,06373;;7,37696592;34,30127742;1,963304494;24,7703526;11,41854246;0,26508;0,473354692;2,33;3,686882997;3,474447989;0,358007429
MSFT;Microsoft;Information Technology;Systems Software;MSFT.O;3,88368E+12;38,30198071;1,35345;0,635431021;11,30816242;33,58239894;2,245450138;33,28082411;18,00478444;0,26005;0,326412587;0,3;13,1801538;12,04680465;0,350259928
LULU;Lululemon;Consumer Discretionary;Apparel, Accessories & Luxury Goods;LULU.O;23392621869;13,22138832;2,16364;;5,694340409;13,43454728;3,51347968;42,48881646;25,35608643;0,00287;;;4,848249539;2,0852032;0,347669823
